sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2021230,Contrabajo I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021231,Contrabajo II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021232,Contrabajo III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021233,Contrabajo IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021234,Contrabajo V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021235,Contrabajo VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021236,Contrabajo VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021237,Contrabajo VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018070,Contrapunto III,2,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018071,Contrapunto IV,2,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021460,Corno I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021461,Corno II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021462,Corno III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021463,Corno IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021464,Corno V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021465,Corno VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021466,Corno VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021467,Corno VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018156,Coro universitario I,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018157,Coro universitario II,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
